timestamp,round,loss,accuracy,data_samples
2025-04-24T12:42:50.743932,8,0.06638886223829352,0.20694304010785305,2967
2025-04-24T12:42:50.787029,1,0.06638886223829352,0.20694304010785305,2967
2025-04-24T12:43:26.811281,2,0.04400797090347182,0.46006066734074824,2967
2025-04-24T12:43:26.824283,9,0.04400797090347182,0.46006066734074824,2967
2025-04-24T12:43:57.591624,3,0.040962049243504,0.5048870913380519,2967
2025-04-24T12:43:57.729684,10,0.040962049243504,0.5048870913380519,2967
2025-04-24T12:44:29.029604,4,0.033716121204461075,0.6241995281429052,2967
2025-04-24T12:44:29.060999,11,0.033716121204461075,0.6241995281429052,2967
2025-04-24T12:44:59.458012,5,0.03927694662355758,0.5375800471857095,2967
2025-04-24T12:44:59.498798,12,0.03927694662355758,0.5375800471857095,2967
2025-04-24T12:45:30.927079,13,0.03641777113707812,0.5760026963262554,2967
2025-04-24T12:45:30.934596,6,0.03641777113707812,0.5760026963262554,2967
2025-04-24T12:46:02.580893,7,0.03886314797650534,0.5460060667340748,2967
2025-04-24T12:46:02.609176,14,0.03886314797650534,0.5460060667340748,2967
2025-04-24T12:46:33.770515,8,0.03625041310699612,0.5615099427030671,2967
2025-04-24T12:46:33.797552,15,0.03625041310699612,0.5615099427030671,2967
2025-04-24T12:47:06.236627,16,0.03733949264292368,0.5557802494101787,2967
2025-04-24T12:47:06.250981,9,0.03733949264292368,0.5557802494101787,2967
2025-04-24T12:47:34.184539,17,0.06826254788737206,0.24031007751937986,2967
2025-04-24T12:47:34.186545,10,0.06826254788737206,0.24031007751937986,2967
2025-04-24T12:48:05.712666,18,0.035549988098163815,0.60262891809909,2967
2025-04-24T12:48:05.713665,11,0.035549988098163815,0.60262891809909,2967
2025-04-24T12:48:38.958046,12,0.028941336528275362,0.6811594202898551,2967
2025-04-24T12:48:38.958046,19,0.028941336528275362,0.6811594202898551,2967
