timestamp,round,aggregated_loss,aggregated_accuracy
2025-04-24T12:43:05.481058,1,0.061443181708455086,0.2908936297361737
2025-04-24T12:43:38.257659,2,0.07046844437718391,0.4171605097086905
2025-04-24T12:44:08.779986,3,0.05342978425323963,0.4440805266584444
2025-04-24T12:44:40.898577,4,0.05573633313179016,0.44990612924638423
2025-04-24T12:45:10.319644,5,0.05217887833714485,0.4617580894430044
2025-04-24T12:45:43.761018,6,0.06921925954520702,0.47265797288812045
2025-04-24T12:46:16.425652,7,0.05138508416712284,0.4788135296071238
2025-04-24T12:46:47.414399,8,0.04785532131791115,0.4933984727608318
2025-04-24T12:47:19.120744,9,0.046320196241140366,0.49274496470520035
2025-04-24T12:47:47.134660,10,0.0507740993052721,0.43523053802963285
2025-04-24T12:48:19.424462,11,0.041248744353652,0.527892045954285
2025-04-24T12:48:54.008176,12,0.04924318008124828,0.5166407815590949
2025-04-24T12:49:24.690242,13,0.04541192948818207,0.5144126949123606
2025-04-24T12:49:52.925259,14,0.04111162945628166,0.5455783320841117
2025-04-24T12:50:23.211081,15,0.05174407176673412,0.46389820670028736
2025-04-24T12:50:53.770426,16,0.054600706323981285,0.5280216897178835
2025-04-24T12:51:22.078586,17,0.04090305417776108,0.5577653399715867
2025-04-24T12:51:54.325000,18,0.04567183367908001,0.5464319158128835
2025-04-24T12:52:21.612034,19,0.041417013853788376,0.5567833861212825
2025-04-24T12:52:49.353924,20,0.041937459260225296,0.5488111906757018
2025-04-24T12:53:17.585805,21,0.041882943361997604,0.5494221102512261
2025-04-24T12:53:45.833132,22,0.039604878053069115,0.5660906918067404
2025-04-24T12:54:15.055181,23,0.04059881344437599,0.5579440504001489
2025-04-24T12:54:43.831299,24,0.041238538920879364,0.5615316595535917
2025-04-24T12:55:13.146145,25,0.040463050827383995,0.568280066564657
